DRYBULBTEMPF,WETBULBTEMPF,DewPointTempF,RelativeHumidity,WindSpeed,WindDirection,StationPressure,SeaLevelPressure,Precip,DATE
62.96,38.54,24.8,23,5.16,334,29.91,29.91,0.0,26-01-2025 21:50
67.28,49.88,40.1,37,3.36,28,29.91,29.91,0.0,26-01-2025 22:50
58.64,38.48,27.14,30,2.24,32,29.94,29.94,0.0,26-01-2025 23:50
60.8,51.58,46.4,59,2.24,130,29.94,29.94,0.0,27-01-2025 00:50
57.2,37.73,26.78,31,2.24,19,29.94,29.94,0.0,27-01-2025 01:50
57.38,38.14,27.32,67,5.34,276,29.97,29.97,0.0,27-01-2025 02:50
54.5,37.57,28.04,36,5.84,279,29.94,29.94,0.0,27-01-2025 03:50
69.62,65.59,63.32,80,2.24,197,29.91,29.91,0.0,27-01-2025 04:50
64.22,47.17,37.58,37,3.36,116,29.94,29.94,0.0,27-01-2025 05:50
61.16,35.12,20.48,20,3.6,26,29.94,29.94,0.0,27-01-2025 06:50
64.22,48.21,39.2,39,3.36,3,29.91,29.91,0.0,27-01-2025 07:50
54.5,37.57,28.04,36,5.84,279,29.94,29.94,0.0,27-01-2025 08:50
64.22,47.17,37.58,37,3.36,116,29.94,29.94,0.0,27-01-2025 09:50
60.8,51.58,46.4,59,2.24,130,29.94,29.94,0.0,27-01-2025 10:50
59.0,38.84,27.5,30,2.49,16,29.94,29.94,0.0,27-01-2025 11:50
59.9,39.05,27.32,29,2.92,18,29.94,29.94,0.0,27-01-2025 12:50
56.3,40.4,31.46,38,5.16,315,29.94,29.94,0.0,27-01-2025 13:50
60.08,38.77,26.78,28,3.11,8,29.94,29.94,0.0,27-01-2025 14:50
57.2,37.73,26.78,31,2.24,19,29.94,29.94,0.0,27-01-2025 15:50
58.64,38.48,27.14,30,2.24,32,29.94,29.94,0.0,27-01-2025 16:50
