DRYBULBTEMPF,WETBULBTEMPF,DewPointTempF,RelativeHumidity,WindSpeed,WindDirection,StationPressure,SeaLevelPressure,Precip,DATE
78.44,49.99,33.98,20,6.46,305,29.77,29.77,0.0,14-03-2025 21:51
69.08,61.13,56.66,65,8.08,84,29.85,29.85,0.01,14-03-2025 22:51
58.82,43.73,35.24,41,7.83,351,29.91,29.91,0.0,14-03-2025 23:51
66.2,42.24,28.76,24,6.71,23,29.85,29.85,0.0,15-03-2025 00:51
72.68,58.05,49.82,44,6.03,32,29.77,29.77,0.0,15-03-2025 01:51
78.98,52.94,38.3,23,7.15,348,29.77,29.77,0.0,15-03-2025 02:51
72.68,58.05,49.82,44,6.03,32,29.77,29.77,0.0,15-03-2025 03:51
76.82,51.82,37.76,24,8.08,335,29.77,29.77,0.0,15-03-2025 04:51
76.82,51.82,37.76,24,8.08,335,29.77,29.77,0.0,15-03-2025 05:51
77.18,48.15,31.82,19,4.91,311,29.77,29.77,0.0,15-03-2025 06:51
68.9,61.3,57.02,65,6.03,61,29.88,29.88,0.0,15-03-2025 07:51
58.82,43.73,35.24,41,7.83,351,29.91,29.91,0.0,15-03-2025 08:51
70.52,51.86,41.36,35,5.59,16,29.8,29.8,0.0,15-03-2025 09:51
58.82,43.73,35.24,41,7.83,351,29.91,29.91,0.0,15-03-2025 10:51
77.0,50.73,35.96,23,8.26,338,29.8,29.8,0.0,15-03-2025 11:51
77.0,50.73,35.96,23,8.26,338,29.8,29.8,0.0,15-03-2025 12:51
75.92,50.35,35.96,23,4.72,300,29.74,29.74,0.0,15-03-2025 13:51
66.2,42.24,28.76,24,6.71,23,29.85,29.85,0.0,15-03-2025 14:51
78.98,52.94,38.3,23,7.15,348,29.77,29.77,0.0,15-03-2025 15:51
66.38,44.61,32.36,64,3.6,54,30.03,30.03,0.0,15-03-2025 16:51
