DRYBULBTEMPF,WETBULBTEMPF,DewPointTempF,RelativeHumidity,WindSpeed,WindDirection,StationPressure,SeaLevelPressure,Precip,DATE
87.08,51.14,30.92,13,6.96,286,29.8,29.8,0.0,14-03-2025 21:36
76.82,56.78,45.5,33,8.95,15,29.77,29.77,0.0,14-03-2025 22:36
84.38,53.74,36.5,18,2.92,247,29.8,29.8,0.0,14-03-2025 23:36
83.48,51.57,33.62,17,9.38,315,29.8,29.8,0.0,15-03-2025 00:36
79.7,75.55,73.22,81,14.54,219,29.83,29.83,0.0,15-03-2025 01:36
83.48,51.57,33.62,17,9.38,315,29.8,29.8,0.0,15-03-2025 02:36
82.58,53.55,37.22,20,2.24,18,29.83,29.83,0.0,15-03-2025 03:36
84.38,55.0,38.48,20,2.24,343,29.77,29.77,0.0,15-03-2025 04:36
84.38,56.85,41.36,22,5.34,25,29.74,29.74,0.0,15-03-2025 05:36
83.48,51.57,33.62,17,9.38,315,29.8,29.8,0.0,15-03-2025 06:36
79.34,49.5,32.72,18,2.67,264,29.83,29.83,0.0,15-03-2025 07:36
87.98,52.27,32.18,14,7.83,300,29.8,29.8,0.0,15-03-2025 08:36
82.58,53.55,37.22,20,2.24,18,29.83,29.83,0.0,15-03-2025 09:36
81.68,55.99,41.54,24,8.08,33,29.77,29.77,0.0,15-03-2025 10:36
78.62,49.82,33.62,19,4.72,317,29.85,29.85,0.0,15-03-2025 11:36
79.34,49.5,32.72,18,2.67,264,29.83,29.83,0.0,15-03-2025 12:36
85.28,51.53,32.54,15,5.16,13,29.8,29.8,0.0,15-03-2025 13:36
76.82,56.78,45.5,33,8.95,15,29.77,29.77,0.0,15-03-2025 14:36
83.48,51.57,33.62,17,9.38,315,29.8,29.8,0.0,15-03-2025 15:36
82.58,53.55,37.22,20,2.24,18,29.83,29.83,0.0,15-03-2025 16:36
