DRYBULBTEMPF,WETBULBTEMPF,DewPointTempF,RelativeHumidity,WindSpeed,WindDirection,StationPressure,SeaLevelPressure,Precip,DATE
77.18,73.61,71.6,83,9.82,144,29.77,29.77,0.0,14-03-2025 21:59
80.78,77.67,75.92,84,18.14,210,29.8,29.8,0.0,14-03-2025 22:59
82.94,73.61,68.36,79,8.95,170,29.8,29.8,0.0,14-03-2025 23:59
80.78,77.67,75.92,84,15.66,209,29.8,29.8,0.0,15-03-2025 00:59
75.02,70.76,68.36,80,8.95,170,29.8,29.8,0.0,15-03-2025 01:59
80.78,77.67,75.92,84,18.14,210,29.8,29.8,0.0,15-03-2025 02:59
79.34,68.86,62.96,57,7.83,147,29.77,29.77,0.0,15-03-2025 03:59
79.16,75.59,73.58,83,10.75,201,29.83,29.83,0.0,15-03-2025 04:59
60.98,55.8,52.88,75,2.49,216,29.88,29.88,0.0,15-03-2025 05:59
68.72,59.96,55.04,62,7.83,81,29.85,29.85,0.0,15-03-2025 06:59
60.98,55.8,52.88,75,2.49,216,29.88,29.88,0.0,15-03-2025 07:59
84.92,76.51,71.78,79,12.55,197,29.8,29.8,0.0,15-03-2025 08:59
77.9,72.02,68.72,73,8.51,207,29.83,29.83,0.0,15-03-2025 09:59
77.9,72.02,68.72,73,8.51,207,29.83,29.83,0.0,15-03-2025 10:59
60.26,55.42,52.7,76,2.67,220,29.91,29.91,0.0,15-03-2025 11:59
76.1,72.76,70.88,84,5.59,230,29.77,29.77,0.0,15-03-2025 12:59
79.7,77.28,75.92,88,15.66,209,29.83,29.83,0.0,15-03-2025 13:59
79.7,77.28,75.92,88,15.66,209,29.83,29.83,0.0,15-03-2025 14:59
78.62,75.39,73.58,84,10.5,210,29.83,29.83,0.0,15-03-2025 15:59
82.94,73.61,68.36,79,8.95,170,29.8,29.8,0.0,15-03-2025 16:59
