DRYBULBTEMPF,WETBULBTEMPF,DewPointTempF,RelativeHumidity,WindSpeed,WindDirection,StationPressure,SeaLevelPressure,Precip,DATE
68.54,60.25,55.58,64,4.47,101,29.83,29.83,0.0,14-03-2025 22:12
74.84,69.08,65.84,73,6.46,173,29.8,29.8,0.0,14-03-2025 23:12
76.82,66.91,61.34,59,7.15,133,29.77,29.77,0.0,15-03-2025 00:12
58.46,51.55,47.66,67,2.67,235,29.94,29.94,0.0,15-03-2025 01:12
80.06,73.03,69.08,69,9.2,208,29.77,29.77,0.0,15-03-2025 02:12
76.82,66.91,61.34,59,7.15,133,29.77,29.77,0.0,15-03-2025 03:12
68.54,60.25,55.58,64,4.47,101,29.83,29.83,0.0,15-03-2025 04:12
60.26,55.42,52.7,76,2.67,220,29.91,29.91,0.0,15-03-2025 05:12
79.7,69.79,64.22,59,6.28,153,29.77,29.77,0.0,15-03-2025 06:12
84.56,74.88,69.44,79,6.71,233,29.8,29.8,0.0,15-03-2025 07:12
58.46,51.55,47.66,67,2.67,235,29.94,29.94,0.0,15-03-2025 08:12
58.46,51.55,47.66,67,2.67,235,29.94,29.94,0.0,15-03-2025 09:12
69.8,66.34,64.4,83,3.11,75,29.83,29.83,0.0,15-03-2025 10:12
80.06,73.03,69.08,69,9.2,208,29.77,29.77,0.0,15-03-2025 11:12
68.54,60.25,55.58,64,4.47,101,29.83,29.83,0.0,15-03-2025 12:12
84.56,74.88,69.44,79,6.71,233,29.8,29.8,0.0,15-03-2025 13:12
79.7,69.79,64.22,59,6.28,153,29.77,29.77,0.0,15-03-2025 14:12
60.26,55.42,52.7,76,2.67,220,29.91,29.91,0.0,15-03-2025 15:12
76.82,66.91,61.34,59,7.15,133,29.77,29.77,0.0,15-03-2025 16:12
67.82,59.41,54.68,63,8.08,72,29.85,29.85,0.0,15-03-2025 17:12
